Individual,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib,Dental Attrition 
S379V0851,5,1,1,2,2,,5,5,5,5,5,1,1,3,3,5,1,2,3,1,4,1,2,2,1,1,1,,,
S404V1139,3,3,3,5,5,4,4,5,4,5,5,3,3,5,5,4,3,1,1,1,3,3,1,2,2,3,,4,5,
S464V1012,3,2,1,5,4,5,4,,3,,5,,2,,5,,,,,,1,4,2,2,1,,,,,
S092V0124,3,2,2,2,1,4,5,,2,,,,3,4,3,3,4,3,2,1,3,5,2,1,1,,3,,,
S158V0427,4,4,5,4,4,5,5,4,4,4,4,5,5,5,5,2,2,3,3,1,3,3,3,3,2,5,5,,,
S226V0282,5,5,5,3,3,1,5,4,4,4,4,4,4,5,5,4,1,2,1,1,3,4,2,3,1,4,4,,,
S236V0335,5,1,1,3,2,4,5,5,5,4,4,3,4,4,3,2,4,3,2,2,3,4,1,3,1,1,1,,,
S249V0394,5,4,4,4,4,3,2,,,,,,,5,5,3,3,3,2,3,2,3,2,2,1,,,,,
S250V0402,4,4,4,5,5,4,,4,4,1,1,5,5,,5,,,,,,,,,,,5,5,,,
S251V0624,4,2,2,4,4,2,4,4,4,4,4,5,5,4,4,4,4,3,2,1,5,3,2,3,1,5,5,,,
S260V1503,1,5,5,,,4,,,5,,3,,3,4,4,3,5,3,2,1,3,5,3,3,1,,1,3,,
S290V0472,5,4,4,1,1,4,5,,,,,,,5,5,4,5,2,2,1,4,5,2,2,1,,,2,,
S317V0649,5,5,5,2,2,,5,,,,,,,3,3,4,3,3,2,1,4,2,3,2,1,,,,,
S324V0671,2,2,1,1,1,3,3,,5,,4,,4,4,4,4,4,3,3,1,2,3,3,2,1,,2,,6,
S325V0676,5,1,2,1,1,4,5,,5,,4,,4,4,5,,,,,,4,4,3,2,1,,2,,,
S363V0766,2,5,5,1,1,5,5,1,2,5,5,2,2,3,4,4,3,3,3,3,4,1,3,2,1,3,3,,,
S380V0821,4,3,2,1,1,4,3,2,,2,,1,,3,3,3,5,3,2,1,2,3,3,1,3,2,,,,
S391V0826,3,2,2,4,4,4,3,4,,5,,5,,2,2,4,3,3,3,1,,,,,,5,,,,
S416V1507,5,5,4,3,3,5,,4,4,3,3,5,5,5,5,2,4,2,3,1,3,2,2,2,1,4,4,4,7,
S436V0911,3,3,1,4,4,1,4,,,,,,,4,3,3,4,3,3,1,4,5,3,2,1,,,,,
S034V0074,3,3,3,4,4,4,3,,,5,,4,5,5,5,5,5,3,3,2,5,5,3,3,,,3,,,
S051V0059,4,5,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,1,4,4,3,2,1,3,3,,,
S064V0050,2,2,,4,4,4,5,4,4,4,4,5,5,3,3,4,3,3,3,2,4,3,3,2,3,4,4,,,
S070V0067,2,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,3,3,3,5,4,3,2,2,4,4,,,
S100V0159,5,5,5,,2,,5,4,3,4,4,5,5,2,2,5,5,3,3,3,6,6,,,,,,,,
S155V0196,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,5,3,3,3,2,5,4,3,3,3,4,5,,,
S174V0408,2,1,1,4,4,3,5,1,,1,,2,,4,2,4,5,3,2,1,4,5,3,2,1,,,,,
S216V0233,5,5,5,2,1,1,4,1,2,1,1,1,1,4,3,5,3,3,2,3,4,3,3,2,3,6,4,7,8,
S237V0348,5,5,5,3,3,2,4,5,5,5,5,5,5,5,5,3,3,3,2,1,4,2,3,2,1,,,,,
S253V0466,5,4,4,2,2,2,1,5,,5,,5,,5,4,,,,,,5,2,3,2,3,,,,,
S285V0452,4,,3,5,5,5,5,3,3,5,5,4,5,5,5,3,4,3,3,2,3,4,3,3,3,4,4,,,
S289V0477,,3,2,4,4,5,2,4,4,,,4,4,4,4,5,3,2,3,3,4,4,3,2,1,5,4,,,
S313V0926,4,3,2,5,4,5,4,,2,,2,,1,5,5,5,4,3,2,1,5,4,3,2,2,5,5,6,,
S342V0737,5,5,5,5,5,5,3,,,,,,,5,5,5,5,2,3,1,5,4,3,3,1,,,,,
S375V0215,3,1,2,1,1,1,1,4,4,5,5,5,5,5,5,3,1,3,2,2,4,4,3,2,3,5,6,,,
S402V0907,4,2,1,1,1,5,3,4,4,1,1,2,2,5,5,4,4,3,2,2,5,3,3,3,2,4,4,,,
S473V1003,5,3,3,2,2,5,4,,,,,,,5,5,3,5,3,2,2,3,5,2,2,2,,,,,
