Individual,Population,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib
S380V0821,MB11,4,3,2,1,1,4,3,2,,2,,1,,3,3,3,5,3,2,1,2,3,3,1,3,2,,,
S391V0826,MB11,3,2,2,4,4,4,3,4,,5,,5,,2,2,4,3,3,3,1,,,,,,5,,,
S416V1507,MB11,5,5,4,3,3,5,,4,4,3,3,5,5,5,5,2,4,2,3,1,3,2,2,2,1,4,4,4,7
S436V0911,MB11,3,3,1,4,4,1,4,,,,,,,4,3,3,4,3,3,1,4,5,3,2,1,,,,
S034V0074,MB11,3,3,3,4,4,4,3,,,5,,4,5,5,5,5,5,3,3,2,5,5,3,3,,,3,,
S051V0059,MB11,4,5,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,1,4,4,3,2,1,3,3,,
S064V0050,MB11,2,2,,4,4,4,5,4,4,4,4,5,5,3,3,4,3,3,3,2,4,3,3,2,3,4,4,,
S070V0067,MB11,2,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,3,3,3,5,4,3,2,2,4,4,,
S100V0159,MB11,5,5,5,,2,,5,4,3,4,4,5,5,2,2,5,5,3,3,3,6,6,,,,,,,
S155V0196,MB11,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,5,3,3,3,2,5,4,3,3,3,4,5,,
S174V0408,MB11,2,1,1,4,4,3,5,1,,1,,2,,4,2,4,5,3,2,1,4,5,3,2,1,,,,
S216V0233,MB11,5,5,5,2,1,1,4,1,2,1,1,1,1,4,3,5,3,3,2,3,4,3,3,2,3,6,4,7,8
